PDF File Name,Summary_T5,Summary_Gemini,Summary_Gpt4,Summary_Gpt3,Summary_BART
0,crowdsourcing workers and ChatGPT are used to annotate open-domain conversations . guidelines include simple questions about the topic and speaker change .,"This paper introduces a semi-automated method for annotating open-domain conversations with speech functions using Large Language Models (LLMs) and hierarchical guidelines. The method allows for efficient and cost-effective annotation compared to traditional expert or crowdsourcing approaches. Experiments show that, with appropriate prompt engineering, LLMs can achieve human-like performance in certain annotation tasks, demonstrating their potential for complex discourse analysis.","This paper introduces a semi-automated method using Large Language Models for annotating open-domain conversations with speech functions, comparing the efficacy of experts, crowdsourcing, and ChatGPT, and demonstrating that with tailored prompts, ChatGPT can rival human annotators.","This paper introduces a semi-automated method for annotating open-domain conversations with speech functions using Large Language Models. Comparing expert, crowdsourcing, and ChatGPT annotations, it shows that large language models can achieve human-like performance in complex discourse annotation with prompt engineering techniques.","""ChatGPT vs. Crowdsourcing vs. Experts: Annotating Open-Domain Conversations with Speech Functions""This paper deals with the task of annotating open-domain"
1,chatGPT has uncovered possibilities whereby large language models can substitute human intelligence . the ability to reproduce human-generated label annotations could reduce cost and complexity of social computing research .,"ChatGPT demonstrates the ability to reproduce human-generated labels in social computing tasks, such as stance detection, sentiment analysis, hate speech, and bot detection. However, its performance varies across individual labels, and there is room for improvement. Further exploration can lead to new analysis methods and advancements in utilizing ChatGPT for human annotation tasks.","This study explores whether ChatGPT can replicate human-generated labels in social computing tasks, using it to re-label datasets in stance detection, sentiment analysis, hate speech, and bot detection. Results show potential, with varying accuracy across tasks, suggesting avenues for future research.","This study explores ChatGPT's ability to replicate human-generated labels in social computing tasks. Results show ChatGPT can handle data annotation tasks with an average accuracy of 0.609, excelling in sentiment analysis. Challenges persist, but this research paves the way for leveraging ChatGPT in human annotation tasks.",Title: Can ChatGPT Reproduce Human-Generated Labels? A Study of Social Computing TasksThe release of ChatGrypt has uncovered a range of possibilities whereby large language
2,open-source large language models outperform proprietary models like ChatGPT . study compares it with open-source models like HugginChat and FLAN .,"Open-source LLMs like HuggingChat and FLAN show strong performance in text annotation tasks, rivaling MTurk and even approaching ChatGPT's capabilities.","This study evaluates open-source Large Language Models (LLMs) like HugginChat and FLAN in text annotation, comparing them to ChatGPT and MTurk. Findings reveal that open-source LLMs surpass MTurk and rival ChatGPT in certain tasks, highlighting their cost-effectiveness and data security.","Open-source Large Language Models (LLMs) like HugginChat and FLAN surpass human-based services and rival ChatGPT in text annotation tasks. Despite ChatGPT's overall superior performance, open-source LLMs offer cost-effectiveness, transparency, and data protection, showing competitive potential in specific tasks.","""OPEN-SOURCE LARGE LANGUAGE MODELS OUTPERFORM CROWD WORKERS AND APPROACH CHATGPT IN TEXT-ANNOTATION TAS"
3,chatGPT outperforms crowd workers for text annotation tasks . per-annotation cost of ChatGPT is less than $0.003—about thirty times cheaper than MTur,"ChatGPT surpasses crowd workers in text annotation tasks, achieving higher accuracy and intercoder agreement. Its zero-shot performance exceeds crowd workers by 25 percentage points, and its annotation cost is 30 times cheaper than MTurk, demonstrating the potential of large language models in enhancing text classification efficiency.","Using four datasets (n=6,183), ChatGPT significantly outperformed crowd workers in text annotation tasks like relevance and topic detection, achieving higher accuracy and intercoder agreement at a cost thirty times lower than MTurk.","ChatGPT surpasses crowd workers in text annotation tasks, showing superior performance in relevance, stance, topics, and frame detection. With zero-shot accuracy exceeding crowd workers by 25%, ChatGPT also boasts higher intercoder agreement and significantly lower cost, highlighting its efficiency in text classification.","ChatGPT outperforms crowd workers for text-annotation tasksMany NLP applications require manual text annotations for a variety of tasks, notably to train classifiers or evaluate the performance of"
4,chatGPT is a new product of OpenAI and has emerged as the most popular AI product . it can answer questions on various topics and tasks .,"ChatGPT, an advanced language model, demonstrates remarkable performance in text annotation for sentiment analysis tasks. It significantly outperforms lexicon-based unsupervised methods, achieving an accuracy improvement of 20% and 25%, respectively, on tweets and Amazon reviews datasets. These findings indicate ChatGPT's potential as a valuable tool for annotating sentiment analysis data.","This study evaluates ChatGPT as a data labeling tool for sentiment analysis, demonstrating its superiority over lexicon-based methods with accuracy improvements of 20% and 25% on tweets and Amazon reviews datasets, respectively, highlighting its potential in diverse sentiment analysis applications.","ChatGPT, a powerful AI tool by OpenAI, outperforms lexicon-based methods in sentiment analysis tasks, showing significant accuracy improvements of up to 25%. Its versatility and accuracy make it a valuable tool for data labeling in various sentiment analysis applications, surpassing existing approaches.",Leveraging ChatGPT As Text Annotation Tool For Sentiment AnalysisSentiment analysis is a well-known natural language processing task that involves identifying the emotional tone or polarity of
5,"ChatGPT is nondeterministic, which means identical input can lead to different outputs . this study investigates the consistency of ChatGPT’s zero-shot capabilities for text annotation","ChatGPT's reliability for text annotation and classification is questionable due to its nondeterministic nature. Even minor prompt variations or input repetitions can lead to varying outputs. While pooling outputs may improve reliability, caution is advised. Unsupervised use of ChatGPT for these tasks is not recommended, and thorough validation against human-annotated data is crucial.","This study highlights the inconsistent reliability of ChatGPT in zero-shot text annotation and classification tasks, showing that even minor prompt changes or repeated inputs can yield varied results, and advises thorough validation against human-annotated data.","ChatGPT shows promise for text tasks, but its nondeterministic nature raises reliability concerns. Testing its zero-shot capabilities reveals inconsistencies, with minor changes leading to varied outputs. Caution is advised when using ChatGPT for text annotation, emphasizing the importance of validation against human-annotated data.",Testing the Reliability of ChatGPT for Text Annotation and Classification: A Cautionary RemarkRecent studies have demonstrated promising potential of Chat GPT for various text annotation and classification
6,a language model called GPT-3 has improved learning across many tasks . it costs 50% to 96% less to use pseudo labels from GPT-3 than from humans .,"GPT-3, a large language model, can be used as a cost-effective data labeler for NLP tasks. By leveraging GPT-3's labels, models can achieve similar performance with 50-96% less labeling cost compared to human-labeled data. A framework combining GPT-3 and human labels further enhances performance within limited labeling budgets.","This paper explores using GPT-3 as a cost-effective alternative for data labeling in NLP tasks, achieving significant cost reductions (50%-96%) compared to human labeling and enhancing performance through a novel framework combining GPT-3 and human-generated labels.","Leveraging GPT-3 for data labeling significantly reduces costs by 50% to 96% compared to human labeling. Combining GPT-3 pseudo labels with human labels enhances model performance, offering a cost-effective and scalable data labeling solution applicable across various NLP tasks.",Want To Reduce Labeling Cost? GPT-3 Can HelpData annotation is a time-consuming and labor-intensive process for many NLP tasks. Although there exist various methods to
7,automatic genre identification (AGI) is a text classification task focused on genres . obtaining genre information has been shown to be beneficial for a wide range of disciplines .,"Automatic genre identification (AGI) has become increasingly important for disciplines like linguistics and natural language processing. This survey provides an overview of different approaches to AGI, including genre schema definition, dataset collection, and machine learning strategies. It highlights the most relevant genre schemata and datasets, discusses recent advances in machine learning approaches, and proposes directions for developing a stable multilingual genre classifier.","The research paper surveys Automatic Genre Identification (AGI), highlighting its importance across multiple disciplines and the variability in genre datasets due to differing definitions and annotation methods. It details AGI methodologies, key datasets, and advances in machine learning for AGI, proposing future directions for a stable multilingual classifier.","""Automatic genre identification (AGI) involves classifying text based on genres defined by purpose, function, and form. Researchers have created diverse genre datasets for developing efficient classifiers, emphasizing the importance of understanding dataset differences. The paper reviews AGI approaches, genre schemata, datasets, and machine learning strategies for multilingual classification.""","The title of the research paper is ""Automatic genre identification: a study of machine learning and machine learning approaches to automatic genre identification (AGI).Automatic genres identification (AAI"
8,research paper compares quality of annotations in low-resource language NLP tasks . human annotations outperformed those produced by large language models (LLMs) findings highlight need,"This study compares the quality of annotations in Turkish, Indonesian, and Minangkabau NLP tasks generated by human annotators and LLMs. Human-generated annotations outperformed LLM-generated ones in complex tasks, while LLMs showed competitive quality in sentiment analysis. This highlights the need for judicious selection of annotation sources and continued advancements in LLM capabilities.","This study evaluates annotation quality in Turkish, Indonesian, and Minangkabau NLP tasks, comparing human-generated annotations to those from Large Language Models (LLMs). Findings reveal humans outperform LLMs in complex tasks, highlighting LLMs' contextual limitations.","This study compares human and Large Language Model (LLM)-generated annotations in Turkish, Indonesian, and Minangkabau NLP tasks. While LLM annotations excel in sentiment analysis, human annotations outperform in complex tasks, emphasizing the need for improved LLM capabilities in data annotation for NLP and machine learning.",ChatGPT Label: Comparing the Quality of Human-Generated and LLM- Generated Annotations in Low-Resource Language NLP TasksThis research paper presents a comprehensive comparative
9,large language models like ChatGPT can learn in-context (ICL) from examples . this is the first study that assesses ChatGPT 's effectiveness in an,"Researchers demonstrate the effectiveness of ChatGPT in annotating a dataset for training instructor models in intelligent tutoring systems. ChatGPT's in-context learning capabilities allow it to select appropriate tutoring instructions based on student states, offering a potential solution to the time-consuming and expensive process of human annotation.","This study evaluates ChatGPT's effectiveness in annotating datasets for intelligent tutoring systems (ITSs), presenting a novel, cost-effective method that could replace human experts, alongside contributions including a new dataset annotation methodology and a publicly available annotated dataset.","This study explores ChatGPT's effectiveness in annotating datasets for intelligent tutoring systems. By leveraging prompt engineering, ChatGPT selects tutoring instructions for student states, proving to be a cost-effective alternative to human experts. The study introduces a novel dataset annotation methodology and a dataset of annotated student states.",Using ChatGPT to annotate a dataset: A case study in intelligent tutoring systemsABSTRACT  Â ÂLarge language models like ChatGPN can learn in-
